airport_id,airport_name,iata,degree
2246,Antonio B. Won Pat International Airport,GUM,70
1243,Santiago de Compostela Airport,SCQ,70
465,Belfast International Airport,BFS,70
1767,La Aurora Airport,GUA,70
1231,Menorca Airport,MAH,70
2559,Pinto Martins International Airport,FOR,69
3973,Tbilisi International Airport,TBS,69
2874,V.C. Bird International Airport,ANU,69
1435,Strasbourg Airport,SXB,69
3454,Eppley Airfield,OMA,69
3806,Charleston Air Force Base-International Airport,CHS,69
1612,Salzburg Airport,SZG,69
1735,Chişinău International Airport,KIV,68
2526,Val de Cans/Júlio Cezar Ribeiro International Airport,BEL,68
3515,Myrtle Beach International Airport,MYR,68
596,Cork Airport,ORK,68
373,Dortmund Airport,DTM,67
2548,Marechal Rondon Airport,CGB,66
591,Rotterdam The Hague Airport,RTM,66
3196,Da Nang International Airport,DAD,66
6147,Khudzhand Airport,LBD,66
246,Ouagadougou Airport,OUA,66
680,Copernicus Wrocław Airport,WRO,66
1057,Tenerife Norte Airport,TFN,66
2883,Cyril E. King Airport,STT,66
1569,Ljubljana Jože Pučnik Airport,LJU,66
231,Es Senia Airport,ORN,66
2923,Yakutsk Airport,YKS,66
907,Kenneth Kaunda International Airport Lusaka,LUN,66
495,Southampton Airport,SOU,66
1177,Julius Nyerere International Airport,DAR,65
2994,Sardar Vallabhbhai Patel International Airport,AMD,64
2551,Eduardo Gomes International Airport,MAO,64
2042,Wellington International Airport,WLG,64
