airport_id,airport_name,iata,betweenness
210,Houari Boumediene Airport,ALG,98315.7891565915
160,Winnipeg / James Armstrong Richardson International Airport,YWG,97361.09934584153
196,Yellowknife Airport,YZF,97350.45406481813
2531,Presidente Juscelino Kubistschek International Airport,BSB,93273.43792652099
9,Kangerlussuaq Airport,SFJ,93208.92409504419
3395,Chengdu Shuangliu International Airport,CTU,91113.12669818339
100,Ottawa Macdonald-Cartier International Airport,YOW,91056.62683009135
1020,Ndjili International Airport,FIH,90845.01802240245
951,Quatro de Fevereiro Airport,LAD,88030.15349046502
1960,Nadi International Airport,NAN,87328.07171923005
3205,Tan Son Nhat International Airport,SGN,85835.9686101779
3351,Perth International Airport,PER,85826.20432014778
2560,Rio Galeão – Tom Jobim International Airport,GIG,85696.17233076728
3339,Melbourne International Airport,MEL,83692.95915256928
599,Dublin Airport,DUB,81287.7674093189
3157,Don Mueang International Airport,DMK,80690.30033747315
2551,Eduardo Gomes International Airport,MAO,79280.66636183947
3322,Cairns International Airport,CNS,78393.37505529847
3693,Ralph Wien Memorial Airport,OTZ,76543.46363636374
3752,Philadelphia International Airport,PHL,75984.51121454066
478,Manchester Airport,MAN,75787.52597685119
2948,Pulkovo Airport,LED,75264.91124319515
3239,Yangon International Airport,RGN,74201.08271059295
3615,Nome Airport,OME,73077.5208512061
55,Iqaluit Airport,YFB,70508.53793328763
1869,Marcos A. Gelabert International Airport,PAC,70187.5
1957,Philip S. W. Goldson International Airport,BZE,70175.45343249198
49,Edmonton International Airport,YEG,69951.44687261457
3536,Salt Lake City International Airport,SLC,68816.57268905696
918,Ivato Airport,TNR,68789.74617927284
2988,Vnukovo International Airport,VKO,68774.57818339324
3240,Hasanuddin International Airport,UPG,68734.20782325714
3808,Ketchikan International Airport,KTN,68185.264656737
3876,Charlotte Douglas International Airport,CLT,67546.61134076424
3645,Detroit Metropolitan Wayne County Airport,DTW,67518.70934618569
5967,Aniak Airport,ANI,67303.49506282213
2276,Taiwan Taoyuan International Airport,TPE,66039.47027397655
3492,Juneau International Airport,JNU,65821.95006445222
16,Keflavik International Airport,KEF,65298.03382889831
1074,Mohammed V International Airport,CMN,64046.597776730254
345,Düsseldorf Airport,DUS,63476.89497029726
1678,Zürich Airport,ZRH,63252.969705160554
202,Sept-Îles Airport,YZV,61563.592181258864
3940,Ngurah Rai (Bali) International Airport,DPS,61013.75461508323
534,Glasgow International Airport,GLA,59069.02747919818
3533,Fort Lauderdale Hollywood International Airport,FLL,57769.90892097482
3399,Ürümqi Diwopu International Airport,URC,57763.83319490665
3794,King Salmon Airport,AKN,57440.000000000065
3462,Phoenix Sky Harbor International Airport,PHX,57245.84108961597
4331,Mashhad International Airport,MHD,55769.803558014406
2082,King Khaled International Airport,RUH,55246.84561560695
1953,Lynden Pindling International Airport,NAS,55225.375308574476
2578,Viracopos International Airport,VCP,54948.62903629432
1613,Vienna International Airport,VIE,54947.25532953815
663,"Tromsø Airport,",TOS,54285.55459783474
8,Godthaab / Nuuk Airport,GOH,53511.48886092439
3125,Tribhuvan International Airport,KTM,53328.48516972436
5908,Santo Pekoa International Airport,SON,53138.88984857351
2131,Mehrabad International Airport,THR,53071.169912356476
2688,Mariscal Sucre International Airport,UIO,51864.26957695926
3382,Kunming Changshui International Airport,KMG,51099.289656842026
3998,Palma De Mallorca Airport,PMI,50916.370134642515
273,Murtala Muhammed International Airport,LOS,49860.34482544956
2762,El Alto International Airport,LPB,49714.44138065318
1128,Cairo International Airport,CAI,49053.513158208276
3266,Miri Airport,MYY,48193.77751213589
3341,Adelaide International Airport,ADL,47897.47197738646
3531,Kodiak Airport,ADQ,47888.00000000003
3988,Ministro Pistarini International Airport,EZE,46994.81091902052
1180,Kilimanjaro International Airport,JRO,46767.5749064716
3380,Chinggis Khaan International Airport,ULN,46448.20226010883
2599,Salgado Filho Airport,POA,46236.71122185401
3678,St Louis Lambert International Airport,STL,45403.573373719664
1147,Nairobi Wilson Airport,WIL,45019.81298130509
2890,Luis Munoz Marin International Airport,SJU,42841.83564799591
3324,Mount Isa Airport,ISA,42712.824530590464
3878,Orlando International Airport,MCO,42638.229044571206
3043,Netaji Subhash Chandra Bose International Airport,CCU,42333.32639710059
548,London Stansted Airport,STN,42237.489399132595
2621,Deputado Luiz Eduardo Magalhães International Airport,SSA,41820.63170026422
3199,Noi Bai International Airport,HAN,41458.79818705678
1865,Bocas Del Toro International Airport,BOC,41392.0
1871,Tocumen International Airport,PTY,40678.18298458826
3076,Hazrat Shahjalal International Airport,DAC,40150.07767692856
3024,Bandaranaike International Colombo Airport,CMB,39524.66629816485
2206,Jinnah International Airport,KHI,39131.50178178651
529,Kirkwall Airport,KOI,38307.627002643705
94,Natashquan Airport,YNA,38296.0
1867,Enrique Malek International Airport,DAV,38195.0
2975,Koltsovo Airport,SVX,37290.58575935808
3999,Darwin International Airport,DRW,36569.77116825315
132,Rankin Inlet Airport,YRT,36477.84701316803
1590,Ben Gurion International Airport,TLV,35529.74888670674
3156,Malé International Airport,MLE,35147.20363810551
1657,Henri Coandă International Airport,OTP,34240.33132938742
2526,Val de Cans/Júlio Cezar Ribeiro International Airport,BEL,34055.141571608976
3379,Xi'an Xianyang International Airport,XIY,33623.740318043
4317,Sabiha Gökçen International Airport,SAW,33559.862203591976
2548,Marechal Rondon Airport,CGB,33463.40902351527
2908,Almaty Airport,ALA,33357.86532388702
260,Nnamdi Azikiwe International Airport,ABV,33075.31153601839
